sample,group,Genotype,GID,plate_code,well,Lote,is_hybrid,total_markers,valid_calls,het_calls,homo_calls,failed_calls,het_rate,call_rate,fail_rate,concordance,purity_status,purity_reason
F6608 - P1G10,F5,F5,53002,F6608,P1G10,L-99-1,True,9910,9730,3260,6470,180,0.33504624871531347,0.9818365287588294,0.018163471241170535,0.9977389516957862,PASS,OK
F6608 - P1H10,F5,F5,53002,F6608,P1H10,L-99-1,True,9910,9713,3227,6486,197,0.3322351487696901,0.9801210898082745,0.01987891019172553,0.9966024915062288,PASS,OK
F6608 - P1H9,F5,F5,53002,F6608,P1H9,L-99-1,True,9910,9734,3263,6471,176,0.3352167659749332,0.9822401614530777,0.0177598385469223,0.9979453462091638,PASS,OK
F6609 - P1B11,F5,F5,53002,F6609,P1B11,L-99-1,True,9910,9688,3150,6538,222,0.32514450867052025,0.977598385469223,0.022401614530776992,0.9972130470685384,PASS,OK
F6609 - P1C11,F5,F5,53002,F6609,P1C11,L-99-1,True,9910,9728,3261,6467,182,0.3352179276315789,0.9816347124117053,0.018365287588294654,0.9981496710526315,PASS,OK
F6609 - P1D11,F5,F5,53002,F6609,P1D11,L-99-1,True,9910,9730,3028,6702,180,0.31120246659815004,0.9818365287588294,0.018163471241170535,0.9968139773895169,PASS,OK
F6609 - P1E11,F5,F5,53002,F6609,P1E11,L-99-1,True,9910,9691,3209,6482,219,0.3311319781240326,0.9779011099899092,0.022098890010090817,0.9982457950675885,PASS,OK
F6609 - P1F11,F5,F5,53002,F6609,P1F11,L-99-1,True,9910,9723,3245,6478,187,0.33374472899310914,0.981130171543895,0.018869828456104944,0.9982515684459529,PASS,OK
F6610 - P1A12,F5,F5,53002,F6610,P1A12,L-99-1,True,9910,9675,3114,6561,235,0.3218604651162791,0.9762865792129163,0.023713420787083755,0.9975193798449612,PASS,OK
F6610 - P1B12,F5,F5,53002,F6610,P1B12,L-99-1,True,9910,9714,3246,6468,196,0.33415688696726376,0.9802219979818365,0.01977800201816347,0.9985587811406218,PASS,OK
F6610 - P1C12,F5,F5,53002,F6610,P1C12,L-99-1,True,9910,9719,3263,6456,191,0.33573412902561994,0.9807265388496468,0.01927346115035318,0.9983537400967177,PASS,OK
F6610 - P1G11,F5,F5,53002,F6610,P1G11,L-99-1,True,9910,9721,2872,6849,189,0.29544285567328465,0.9809283551967709,0.019071644803229062,0.9864211500874396,PASS,OK
F6610 - P1H11,F5,F5,53002,F6610,P1H11,L-99-1,True,9910,9716,3257,6459,194,0.3352202552490737,0.9804238143289606,0.019576185671039355,0.9974269246603541,PASS,OK
F6611 - P1D12,F5,F5,53002,F6611,P1D12,L-99-1,True,9910,9729,3244,6485,181,0.3334361188200226,0.9817356205852674,0.018264379414732593,0.9981498612395929,PASS,OK
F6611 - P1E12,F5,F5,53002,F6611,P1E12,L-99-1,True,9910,9731,3217,6514,179,0.3305929503648135,0.9819374369323915,0.018062563067608475,0.9980474771349296,PASS,OK
F6611 - P1F12,F5,F5,53002,F6611,P1F12,L-99-1,True,9910,9718,3233,6485,192,0.33268162173286686,0.9806256306760848,0.019374369323915237,0.9976332578719901,PASS,OK
F6611 - P1G12,F5,F5,53002,F6611,P1G12,L-99-1,True,9910,9719,3260,6459,191,0.3354254552937545,0.9807265388496468,0.01927346115035318,0.997736392632987,PASS,OK
F6611 - P2A1,F5,F5,53002,F6611,P2A1,L-99-1,True,9910,9744,3225,6519,166,0.3309729064039409,0.9832492431886983,0.016750756811301715,0.9971264367816092,PASS,OK
F6612 - P2B1,F5,F5,53002,F6612,P2B1,L-99-1,True,9910,9728,3147,6581,182,0.3234991776315789,0.9816347124117053,0.018365287588294654,0.9942434210526315,PASS,OK
F6612 - P2C1,F5,F5,53002,F6612,P2C1,L-99-1,True,9910,9725,3245,6480,185,0.33367609254498715,0.9813319878910192,0.01866801210898083,0.9986632390745501,PASS,OK
F6612 - P2D1,F5,F5,53002,F6612,P2D1,L-99-1,True,9910,9727,3273,6454,183,0.33648606970288886,0.9815338042381433,0.01846619576185671,0.9978410609643261,PASS,OK
F6612 - P2E1,F5,F5,53002,F6612,P2E1,L-99-1,True,9910,9751,3245,6506,159,0.3327863808840119,0.9839556004036327,0.016044399596367307,0.9983591426520357,PASS,OK
F6612 - P2F1,F5,F5,53002,F6612,P2F1,L-99-1,True,9910,9738,3253,6485,172,0.3340521667693572,0.9826437941473259,0.017356205852674066,0.9959950708564387,PASS,OK
F6613 - P2A2,F5,F5,53003,F6613,P2A2,L-99-2,True,9910,9689,1880,7809,221,0.19403447208174218,0.9776992936427851,0.022300706357214935,0.9668696459902982,WARNING,reduced heterozygosity for hybrid (19.4%)
F6613 - P2B2,F5,F5,53003,F6613,P2B2,L-99-2,True,9910,9704,3238,6466,206,0.333676834295136,0.979212916246216,0.020787083753784057,0.9968054410552349,PASS,OK
F6613 - P2G1,F5,F5,53003,F6613,P2G1,L-99-2,True,9910,9742,3246,6496,168,0.333196468897557,0.9830474268415742,0.016952573158425834,0.9981523301170191,PASS,OK
F6613 - P2H1,F5,F5,53003,F6613,P2H1,L-99-2,True,9910,9730,3258,6472,180,0.3348406988694759,0.9818365287588294,0.018163471241170535,0.9981500513874615,PASS,OK
F6614 - P2C2,F5,F5,53003,F6614,P2C2,L-99-2,True,9910,9741,3262,6479,169,0.3348732163022277,0.9829465186680121,0.01705348133198789,0.9981521404373268,PASS,OK
F6614 - P2D2,F5,F5,53003,F6614,P2D2,L-99-2,True,9910,9745,3242,6503,165,0.33268342739866597,0.9833501513622603,0.016649848637739658,0.9983581323755772,PASS,OK
F6614 - P2E2,F5,F5,53003,F6614,P2E2,L-99-2,True,9910,9742,3227,6515,168,0.33124615068774377,0.9830474268415742,0.016952573158425834,0.9982549784438514,PASS,OK
F6614 - P2F2,F5,F5,53003,F6614,P2F2,L-99-2,True,9910,9729,3251,6478,181,0.33415561722684756,0.9817356205852674,0.018264379414732593,0.9978415047795252,PASS,OK
F6615 - P2B3,F5,F5,53003,F6615,P2B3,L-99-2,True,9910,9752,3274,6478,158,0.3357260049220673,0.9840565085771947,0.015943491422805246,0.9982567678424938,PASS,OK
F6615 - P2C3,F5,F5,53003,F6615,P2C3,L-99-2,True,9910,9744,3204,6540,166,0.3288177339901478,0.9832492431886983,0.016750756811301715,0.9980500821018062,PASS,OK
F6615 - P2G2,F5,F5,53003,F6615,P2G2,L-99-2,True,9910,9733,3276,6457,177,0.3365868694133361,0.9821392532795157,0.01786074672048436,0.9955820404808384,PASS,OK
F6615 - P2H2,F5,F5,53003,F6615,P2H2,L-99-2,True,9910,9743,3233,6510,167,0.3318279790618906,0.9831483350151362,0.016851664984863773,0.9985630709227138,PASS,OK
F6616 - P2D3,F5,F5,53003,F6616,P2D3,L-99-2,True,9910,9751,3270,6481,159,0.33535022049020613,0.9839556004036327,0.016044399596367307,0.9981540354835402,PASS,OK
F6616 - P2E3,F5,F5,53003,F6616,P2E3,L-99-2,True,9910,9740,3240,6500,170,0.3326488706365503,0.9828456104944501,0.017154389505549948,0.9983572895277207,PASS,OK
F6616 - P2F3,F5,F5,53003,F6616,P2F3,L-99-2,True,9910,9731,3110,6621,179,0.31959716370362756,0.9819374369323915,0.018062563067608475,0.9950673106566643,PASS,OK
F6616 - P2G3,F5,F5,53003,F6616,P2G3,L-99-2,True,9910,9725,3163,6562,185,0.3252442159383033,0.9813319878910192,0.01866801210898083,0.9756298200514139,PASS,OK
F6617 - P2A4,F5,F5,53003,F6617,P2A4,L-99-2,True,9910,9740,3238,6502,170,0.3324435318275154,0.9828456104944501,0.017154389505549948,0.9981519507186858,PASS,OK
F6617 - P2B4,F5,F5,53003,F6617,P2B4,L-99-2,True,9910,9672,728,8944,238,0.07526881720430108,0.97598385469223,0.02401614530776993,0.9209057071960298,FAIL,low heterozygosity for hybrid (7.5%; expected >20%)
F6617 - P2C4,F5,F5,53003,F6617,P2C4,L-99-2,True,9910,9744,3287,6457,166,0.33733579638752054,0.9832492431886983,0.016750756811301715,0.9983579638752053,PASS,OK
F6617 - P2H3,F5,F5,53003,F6617,P2H3,L-99-2,True,9910,9697,1444,8253,213,0.14891203464989172,0.9785065590312816,0.021493440968718466,0.9534907703413427,FAIL,low heterozygosity for hybrid (14.9%; expected >20%)
F6618 - P2D4,F5,F5,53003,F6618,P2D4,L-99-2,True,9910,9752,3327,6425,158,0.3411607875307629,0.9840565085771947,0.015943491422805246,0.9983593109105825,PASS,OK
F6618 - P2E4,F5,F5,53003,F6618,P2E4,L-99-2,True,9910,9751,3242,6509,159,0.3324787201312686,0.9839556004036327,0.016044399596367307,0.9988719105732745,PASS,OK
F6618 - P2F4,F5,F5,53003,F6618,P2F4,L-99-2,True,9910,9742,3303,6439,168,0.3390474235269965,0.9830474268415742,0.016952573158425834,0.9976390884828578,PASS,OK
F6618 - P2G4,F5,F5,53003,F6618,P2G4,L-99-2,True,9910,9735,3261,6474,175,0.3349768875192604,0.9823410696266398,0.017658930373360242,0.9979455572675912,PASS,OK
F6619 - P2A5,F5,F5,53003,F6619,P2A5,L-99-2,True,9910,9747,3227,6520,163,0.3310762285831538,0.9835519677093845,0.01644803229061554,0.9985636606135221,PASS,OK
F6619 - P2B5,F5,F5,53003,F6619,P2B5,L-99-2,True,9910,9745,3237,6508,165,0.3321703437660339,0.9833501513622603,0.016649848637739658,0.9979476654694716,PASS,OK
