CELL,GID,NAME,Lote de Producción,het_rate,dist_F5,dist_hembra,closer_to_hembra,ek_class
F6618 - P2F4,53003,F5,L-99-2,0.3390474235269965,0.159446963801652,0.351986171368145,False,Pure hybrid
F6618 - P2G4,53003,F5,L-99-2,0.3349768875192604,0.158839773411519,0.350724374221309,False,Pure hybrid
F6619 - P2A5,53003,F5,L-99-2,0.33107622858315383,0.154871977001006,0.360459271911852,False,Pure hybrid
F6619 - P2B5,53003,F5,L-99-2,0.3321703437660339,0.16001925980256199,0.359804608427793,False,Pure hybrid
F6619 - P2C5,53003,F5,L-99-2,0.3336755646817249,0.155835632437326,0.354841953282317,False,Pure hybrid
F6619 - P2H4,53003,F5,L-99-2,0.33069896335830856,0.158291972769426,0.3563447815258,False,Pure hybrid
F6620 - P2D5,53003,F5,L-99-2,0.3357282151288104,0.155553828322429,0.358431485364575,False,Pure hybrid
F6620 - P2E5,53003,F5,L-99-2,0.23611682435211848,0.235885927625512,0.274594534439322,False,Outcross
F6620 - P2F5,53003,F5,L-99-2,0.2095228279913429,0.262183630797276,0.226664984540664,True,Self parent
F6621 - P2A6,53003,F5,L-99-2,0.08658322126823213,0.354883142517025,0.193666470494815,True,Self parent
F6621 - P2G5,53003,F5,L-99-2,0.3335043612108774,0.155070575619794,0.35773253268794,False,Pure hybrid
F6621 - P2H5,53003,F5,L-99-2,0.3323414734249949,0.158518700240441,0.354649930388759,False,Pure hybrid
F6622 - P2B6,53003,F5,L-99-2,0.3340174448435095,0.156920645478226,0.355373908570331,False,Pure hybrid
F6622 - P2C6,53003,F5,L-99-2,0.3344615384615385,0.152221542088189,0.349279498681635,False,Pure hybrid
F6622 - P2D6,53003,F5,L-99-2,0.3361723961005644,0.156889408271219,0.348496208962371,False,Pure hybrid
F6623 - P2E6,53003,F5,L-99-2,0.33295687885010267,0.159530489005804,0.352891326512261,False,Pure hybrid
F6623 - P2F6,53003,F5,L-99-2,0.3422970337678333,0.153618049613748,0.347355155980266,False,Pure hybrid
F6623 - P2G6,53003,F5,L-99-2,0.3296410256410256,0.159122660850219,0.360330960988508,False,Pure hybrid
F6624 - P2A7,53003,F5,L-99-2,0.33326497128794097,0.151864508648699,0.347196659499198,False,Pure hybrid
F6624 - P2B7,53003,F5,L-99-2,0.33555532765870166,0.158436118331102,0.353467361819339,False,Pure hybrid
F6624 - P2H6,53003,F5,L-99-2,0.32160855702972335,0.175346121934678,0.353884503471738,False,Pure hybrid
F6625 - P2A8,53004,F5,L-88,0.0913128809007334,0.349431219353641,0.195045439266614,True,Self parent
F6625 - P2B8,53004,F5,L-88,0.33607484321990333,0.158522760388714,0.355975301315245,False,Pure hybrid
F6625 - P2C7,53004,F5,L-88,0.3364476386036961,0.155047432870309,0.354798568193552,False,Pure hybrid
F6625 - P2D7,53004,F5,L-88,0.33528385176059955,0.155666641940982,0.354387081571249,False,Pure hybrid
F6625 - P2E7,53004,F5,L-88,0.33603612850251463,0.201210752529108,0.345846278380342,False,Outcross
F6625 - P2F7,53004,F5,L-88,0.3130524152106886,0.372227538569493,0.353814432379974,True,Outcross
F6625 - P2G7,53004,F5,L-88,0.333436087135224,0.158190709738744,0.355297588404587,False,Pure hybrid
F6625 - P2H7,53004,F5,L-88,0.3283658787255909,0.157957698964218,0.353562274856205,False,Pure hybrid
F6626 - P2A9,53004,F5,L-88,0.3334017655512215,0.157427542823624,0.359340355359174,False,Pure hybrid
F6626 - P2B9,53004,F5,L-88,0.32194871794871793,0.377933796828907,0.365983853719005,True,Outcross
F6626 - P2C8,53004,F5,L-88,0.33603446507334084,0.151699560960582,0.345688747996458,False,Pure hybrid
F6626 - P2D8,53004,F5,L-88,0.33624050892673923,0.160010931711477,0.351457323987469,False,Pure hybrid
F6626 - P2E8,53004,F5,L-88,0.33521560574948667,0.154437655592346,0.350873733707378,False,Pure hybrid
F6626 - P2F8,53004,F5,L-88,0.22136382365059745,0.259405077856855,0.376547149391182,False,Outcross
F6626 - P2G8,53004,F5,L-88,0.3271364009860312,0.161582227789149,0.368490873723643,False,Pure hybrid
F6626 - P2H8,53004,F5,L-88,0.13597441452594658,0.333154455426369,0.148132310106543,True,Self parent
F6627 - P2A10,53004,F5,L-88,0.33771029954862536,0.154813588496296,0.352992720800005,False,Pure hybrid
F6627 - P2B10,53004,F5,L-88,0.3350779967159278,0.155762116558661,0.350228550876121,False,Pure hybrid
F6627 - P2C9,53004,F5,L-88,0.33004926108374383,0.156999306171521,0.353199623425997,False,Pure hybrid
F6627 - P2D9,53004,F5,L-88,0.33285420944558525,0.15140366460269,0.346252980684907,False,Pure hybrid
F6627 - P2E9,53004,F5,L-88,0.3367870332375872,0.156856123449068,0.348296263417913,False,Pure hybrid
F6627 - P2F9,53004,F5,L-88,0.3316567439950729,0.157072894774907,0.360678431184683,False,Pure hybrid
F6627 - P2G9,53004,F5,L-88,0.3348049281314169,0.159975534745364,0.349101042100934,False,Pure hybrid
F6627 - P2H9,53004,F5,L-88,0.30122339878688187,0.363737628666245,0.338392207154244,True,Outcross
F6628 - P2C10,53004,F5,L-88,0.14368350377027167,0.339425473238211,0.157797373692258,True,Self parent
F6628 - P2D10,53004,F5,L-88,0.33312795235161224,0.158445485017058,0.361807160456083,False,Pure hybrid
F6628 - P2E10,53004,F5,L-88,0.33004824966635865,0.157194624002372,0.359893541880607,False,Pure hybrid
F6628 - P2F10,53004,F5,L-88,0.3375076986245124,0.153289312843618,0.353082674364439,False,Pure hybrid
F6628 - P2G10,53004,F5,L-88,0.33422322620392236,0.158395518619321,0.360030205234479,False,Pure hybrid
F6628 - P2H10,53004,F5,L-88,0.10315571650284533,0.339763691941888,0.173346221362498,True,Self parent
F6629 - P2A11,53005,F5,L-117,0.3326478149100257,0.153813886876145,0.346207023096331,False,Pure hybrid
F6629 - P2B11,53005,F5,L-117,0.336272298544187,0.152517125581016,0.351311783436835,False,Pure hybrid
F6629 - P2C11,53005,F5,L-117,0.33480447500769783,0.172528409871194,0.371413568588311,False,Pure hybrid
F6629 - P2D11,53005,F5,L-117,0.1256322906988748,0.338387085762766,0.163330098875269,True,Self parent
F6629 - P2E11,53005,F5,L-117,0.3369219727263406,0.158352372889531,0.351779734791992,False,Pure hybrid
F6629 - P2F11,53005,F5,L-117,0.335112388381402,0.157178965600897,0.347491845441883,False,Pure hybrid
F6629 - P2G11,53005,F5,L-117,0.33828958162428224,0.157714425319773,0.351118262024579,False,Pure hybrid
F6629 - P2H11,53005,F5,L-117,0.3316184792674144,0.153494930080276,0.351412603864296,False,Pure hybrid
F6630 - P2A12,53005,F5,L-117,0.3308717948717949,0.157921717893684,0.358282036411462,False,Pure hybrid
F6630 - P2B12,53005,F5,L-117,0.3361379027293248,0.157798900580631,0.35411538564711,False,Pure hybrid
F6630 - P2C12,53005,F5,L-117,0.33651575813571505,0.162394926721329,0.359206979924349,False,Pure hybrid
F6630 - P2D12,53005,F5,L-117,0.33367535399138104,0.155442489640946,0.359829215706481,False,Pure hybrid
F6630 - P2E12,53005,F5,L-117,0.3370625064148619,0.153815409323239,0.348242145671271,False,Pure hybrid
F6630 - P2F12,53005,F5,L-117,0.3259130077964711,0.189044138264939,0.352704742255665,False,Pure hybrid
F6630 - P2G12,53005,F5,L-117,0.3348049281314169,0.158715887830906,0.358568140956433,False,Pure hybrid
F6630 - P3A1,53005,F5,L-117,0.32503343965428544,0.166819377814042,0.361475243661676,False,Pure hybrid
F6631 - P3A2,53005,F5,L-117,0.3291204274558159,0.160130809396343,0.363846555909686,False,Pure hybrid
F6631 - P3B1,53005,F5,L-117,0.32699815081158823,0.378957634359703,0.364008715204596,True,Outcross
F6631 - P3C1,53005,F5,L-117,0.33347039473684215,0.157270103224006,0.356854464609794,False,Pure hybrid
F6631 - P3D1,53005,F5,L-117,0.3292896062506426,0.158092944700673,0.355376911319447,False,Pure hybrid
F6631 - P3E1,53005,F5,L-117,0.3294964028776978,0.159642110602052,0.362593464027804,False,Pure hybrid
F6631 - P3F1,53005,F5,L-117,0.30535530381050463,0.185117230073503,0.3115033500655,False,Pure hybrid
F6631 - P3G1,53005,F5,L-117,0.33223684210526316,0.153954743450124,0.345518995434144,False,Pure hybrid
F6631 - P3H1,53005,F5,L-117,0.3306924580718181,0.155147028956489,0.354071789304228,False,Pure hybrid
F6632 - P3B2,53005,F5,L-117,0.33525002566998663,0.15279888725879,0.348312194956525,False,Pure hybrid
F6632 - P3C2,53005,F5,L-117,0.339225156715651,0.152807142786212,0.34399228344243,False,Pure hybrid
F6632 - P3D2,53005,F5,L-117,0.16899513608610164,0.334691986227424,0.247857790909605,True,Self parent
F6632 - P3E2,53005,F5,L-117,0.33182565789473684,0.390520339187293,0.382974546838999,True,Outcross
F6632 - P3F2,53005,F5,L-117,0.33401828829754443,0.154972148183825,0.353848076810432,False,Pure hybrid
F6632 - P3G2,53005,F5,L-117,0.3300030899165723,0.156065279071112,0.357690101135123,False,Pure hybrid
F6633 - P3A3,53006,F5,L-VV3,0.3318593171534348,0.158759467811148,0.363067333751346,False,Pure hybrid
F6633 - P3B3,53006,F5,L-VV3,0.3310373188033309,0.156279204741378,0.353032434113397,False,Pure hybrid
F6633 - P3C3,53006,F5,L-VV3,0.3336769405215957,0.156608374956838,0.346644155382507,False,Pure hybrid
F6633 - P3D3,53006,F5,L-VV3,0.3308626724315421,0.15433415172761,0.350524678742751,False,Pure hybrid
F6633 - P3E3,53006,F5,L-VV3,0.3309019930141771,0.15558517670358,0.363313697691079,False,Pure hybrid
F6633 - P3F3,53006,F5,L-VV3,0.3121399176954732,0.191778078182762,0.327219937628751,False,Pure hybrid
F6633 - P3G3,53006,F5,L-VV3,0.33073130649137217,0.153846077831236,0.356201391641419,False,Pure hybrid
